Movies	recommendation
Godfather, The (1972) ,  Remains of the Day, The (1993) ,  One Flew Over the Cuckoo's Nest (1975)	"['Godfather: Part II, The (1974)', ""Schindler's List (1993)""]"
Jerry Maguire (1996) , Babe (1995) , Better Off Dead... (1985) , Field of Dreams (1989)	"['E.T. the Extra-Terrestrial (1982)', 'Back to the Future (1985)', 'Beautiful Mind, A (2001)', 'Beauty and the Beast (1991)', 'Inception (2010)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', ""Ferris Bueller's Day Off (1986)"", 'Green Mile, The (1999)']"
Lawrence of Arabia (1962) ,  Glory (1989) ,  Godfather, The (1972)	['WALL·E (2008)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)']
Good Will Hunting (1997) ,  Titanic (1997)	['GoldenEye (1995)', 'Catch Me If You Can (2002)']
Die Hard (1988) ,  Godfather, The (1972)	['Outbreak (1995)', 'Crimson Tide (1995)']
Grosse Pointe Blank (1997) , Star Wars (1977) , Titanic (1997) , Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)	['American Pie (1999)', 'Terminator 2: Judgment Day (1991)', 'Dances with Wolves (1990)', 'Star Trek: Generations (1994)']
Aliens (1986) , Rear Window (1954) , Contact (1997) , Fifth Element, The (1997)	['American Pie (1999)', 'Beautiful Mind, A (2001)', 'Inception (2010)', 'Alien (1979)', 'Crimson Tide (1995)', 'Spider-Man (2002)', 'Batman Begins (2005)', 'Clear and Present Danger (1994)']
Terminator 2: Judgment Day (1991) ,  Princess Bride, The (1987) ,  Groundhog Day (1993)	['Trainspotting (1996)', 'Terminator, The (1984)']
Short Cuts (1993) ,  Vertigo (1958)	['Babe (1995)', 'Finding Nemo (2003)']
Spitfire Grill, The (1996) ,  Phenomenon (1996) ,  Absolute Power (1997)	['Star Wars: Episode I - The Phantom Menace (1999)', 'Princess Bride, The (1987)']
First Wives Club, The (1996) , Birdcage, The (1996) , Boot, Das (1981) , Sense and Sensibility (1995)	"['Kill Bill: Vol. 1 (2003)', 'Inception (2010)', 'Stargate (1994)', ""Ocean's Eleven (2001)"", 'Mrs. Doubtfire (1993)', 'Eternal Sunshine of the Spotless Mind (2004)']"
Toy Story (1995) , Raiders of the Lost Ark (1981) , Indiana Jones and the Last Crusade (1989) , Patton (1970)	['Indiana Jones and the Temple of Doom (1984)', 'Beautiful Mind, A (2001)', 'Jumanji (1995)', 'Incredibles, The (2004)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Finding Nemo (2003)']
Silence of the Lambs, The (1991) ,  Contact (1997)	['Memento (2000)', 'Aliens (1986)']
Toy Story (1995) , Conspiracy Theory (1997) , Raiders of the Lost Ark (1981) , Lost in Space (1998)	"['Waterworld (1995)', 'Incredibles, The (2004)', 'Catch Me If You Can (2002)', ""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"", 'Finding Nemo (2003)']"
Alien (1979) ,  Mirror Has Two Faces, The (1996)	['Full Metal Jacket (1987)', 'Aliens (1986)']
Saint, The (1997) ,  Seven Years in Tibet (1997)	['Jumanji (1995)', 'Sleepless in Seattle (1993)']
House of Yes, The (1997) ,  Liar Liar (1997) ,  Ice Storm, The (1997)	['Seven (a.k.a. Se7en) (1995)', 'Jurassic Park (1993)']
Toy Story (1995) ,  Shall We Dance? (1937)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Men in Black (1997) , Jerry Maguire (1996) , Mother (1996) , Star Wars (1977)	"[""Ferris Bueller's Day Off (1986)"", 'Beauty and the Beast (1991)', 'American Beauty (1999)', 'Mrs. Doubtfire (1993)']"
Chinatown (1974) ,  Alien (1979)	['Inception (2010)', 'Jumanji (1995)']
Contact (1997) , Men in Black (1997) , Full Monty, The (1997) , Private Parts (1997)	['American Pie (1999)', 'Crimson Tide (1995)', 'Apocalypse Now (1979)', 'Harry Potter and the Chamber of Secrets (2002)', 'Goodfellas (1990)', 'Clear and Present Danger (1994)']
Indiana Jones and the Last Crusade (1989) ,  Butch Cassidy and the Sundance Kid (1969)	['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Indiana Jones and the Temple of Doom (1984)']
Spitfire Grill, The (1996) ,  Courage Under Fire (1996)	['Star Wars: Episode I - The Phantom Menace (1999)', 'Princess Bride, The (1987)']
Henry V (1989) , Blade Runner (1982) , L.A. Confidential (1997) , Man Who Would Be King, The (1975)	"[""One Flew Over the Cuckoo's Nest (1975)"", 'Full Metal Jacket (1987)', 'WALL·E (2008)', 'Catch Me If You Can (2002)', 'Clear and Present Danger (1994)', 'Terminator, The (1984)', 'Finding Nemo (2003)']"
Swingers (1996) , Sleepers (1996) , My Best Friend's Wedding (1997) , Men in Black (1997)	['Truman Show, The (1998)', 'Batman Forever (1995)', 'Crimson Tide (1995)', 'WALL·E (2008)', 'Harry Potter and the Chamber of Secrets (2002)', 'Net, The (1995)']
Shawshank Redemption, The (1994) , Bram Stoker's Dracula (1992) , Adventures of Robin Hood, The (1938) , Lion King, The (1994)	"[""Schindler's List (1993)"", 'Beautiful Mind, A (2001)', 'Four Weddings and a Funeral (1994)', 'Aladdin (1992)', 'Eternal Sunshine of the Spotless Mind (2004)']"
To Kill a Mockingbird (1962) , Fugitive, The (1993) , Schindler's List (1993) , Glory (1989)	['Ghost (1990)', 'Mission: Impossible (1996)', 'Die Hard (1988)', 'Clueless (1995)', 'Saving Private Ryan (1998)', 'Memento (2000)', 'Godfather, The (1972)', 'Net, The (1995)']
It's a Wonderful Life (1946) ,  2001: A Space Odyssey (1968)	['E.T. the Extra-Terrestrial (1982)', 'Home Alone (1990)']
Titanic (1997) , Gone with the Wind (1939) , Short Cuts (1993) , Rudy (1993)	['Clueless (1995)', 'Babe (1995)', 'Dances with Wolves (1990)', 'Finding Nemo (2003)', 'Monsters, Inc. (2001)', 'Terminator, The (1984)', 'Dark Knight, The (2008)', 'Star Trek: Generations (1994)']
Toy Story (1995) ,  Psycho (1960)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Back to the Future (1985) , Kingpin (1996) , Toy Story (1995) , Very Brady Sequel, A (1996)	['Clueless (1995)', 'Aladdin (1992)', 'Outbreak (1995)', 'Jumanji (1995)', 'Incredibles, The (2004)', 'Mrs. Doubtfire (1993)', 'Interview with the Vampire: The Vampire Chronicles (1994)', 'Finding Nemo (2003)']
Butch Cassidy and the Sundance Kid (1969) , When Harry Met Sally... (1989) , Fish Called Wanda, A (1988) , Remains of the Day, The (1993)	"['American Pie (1999)', 'Ghost (1990)', ""Schindler's List (1993)"", 'Inception (2010)', 'Firm, The (1993)', 'X-Men (2000)', 'WALL·E (2008)', 'Donnie Darko (2001)']"
Toy Story (1995) , Princess Bride, The (1987) , Ben-Hur (1959) , Great Escape, The (1963)	"[""Schindler's List (1993)"", 'Truman Show, The (1998)', 'Babe (1995)', 'Incredibles, The (2004)', 'WALL·E (2008)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Finding Nemo (2003)']"
Bridges of Madison County, The (1995) ,  When Harry Met Sally... (1989)	['American History X (1998)', 'Kill Bill: Vol. 2 (2004)']
Private Parts (1997) ,  Face/Off (1997) ,  Godfather, The (1972)	['Goodfellas (1990)', 'Crimson Tide (1995)']
Wizard of Oz, The (1939) ,  Candidate, The (1972)	['Ghost (1990)', 'Green Mile, The (1999)']
Titanic (1997) ,  Saint, The (1997)	['Dances with Wolves (1990)', 'Star Trek: Generations (1994)']
187 (1997) , Kolya (1996) , Indian Summer (1996) , Contact (1997)	['American Pie (1999)', 'Clear and Present Danger (1994)']
Speed (1994) , Forrest Gump (1994) , When Harry Met Sally... (1989) , Sling Blade (1996)	"['Ghost (1990)', ""Schindler's List (1993)"", 'Cliffhanger (1993)', 'Aladdin (1992)', 'Twister (1996)', 'Memento (2000)', 'Good Will Hunting (1997)']"
Roman Holiday (1953)	['Willy Wonka & the Chocolate Factory (1971)', 'Braveheart (1995)']
Jurassic Park (1993) ,  Forrest Gump (1994) ,  Rock, The (1996)	['Ghostbusters (a.k.a. Ghost Busters) (1984)', 'Outbreak (1995)']
Toy Story (1995) ,  Mr. Holland's Opus (1995)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Jane Eyre (1996) ,  Incognito (1997) ,  Chasing Amy (1997)	['Minority Report (2002)', 'X-Men (2000)']
Treasure of the Sierra Madre, The (1948) , Casablanca (1942) , Brazil (1985) , Stand by Me (1986)	"['Clockwork Orange, A (1971)', 'Breakfast Club, The (1985)', 'WALL·E (2008)', 'Up (2009)', 'Departed, The (2006)', ""Ferris Bueller's Day Off (1986)"", 'Dark Knight, The (2008)']"
Murder at 1600 (1997) ,  Titanic (1997) ,  Dante's Peak (1997)	['Firm, The (1993)', 'Crimson Tide (1995)']
It Happened One Night (1934) ,  Local Hero (1983) ,  Contact (1997)	['True Lies (1994)', 'Stargate (1994)']
Piano, The (1993) ,  Adventures of Priscilla, Queen of the Desert, The (1994)	['Memento (2000)', 'Batman Begins (2005)']
Full Monty, The (1997) ,  Secrets & Lies (1996)	['Apocalypse Now (1979)', 'Harry Potter and the Chamber of Secrets (2002)']
Until the End of the World (Bis ans Ende der Welt) (1991) , Dead Man Walking (1995) , Cop Land (1997) , Titanic (1997)	"['American History X (1998)', 'Cliffhanger (1993)', 'Dances with Wolves (1990)', 'Memento (2000)', 'Independence Day (a.k.a. ID4) (1996)', ""Ferris Bueller's Day Off (1986)"", ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"", 'Star Trek: Generations (1994)']"
Toy Story (1995) , Back to the Future (1985) , Close Shave, A (1995) , Magnificent Seven, The (1954)	['Jumanji (1995)', 'Aladdin (1992)', 'Incredibles, The (2004)', 'Finding Nemo (2003)']
2001: A Space Odyssey (1968) ,  Jaws (1975)	['Clockwork Orange, A (1971)', 'Taxi Driver (1976)']
Grumpier Old Men (1995) ,  Homeward Bound II: Lost in San Francisco (1996) ,  Flipper (1996)	['Godfather: Part II, The (1974)', 'Batman Begins (2005)']
Rosewood (1997) ,  Cinema Paradiso (1988)	['Fargo (1996)', 'Waterworld (1995)']
Being There (1979) ,  English Patient, The (1996)	['Up (2009)', 'Catch Me If You Can (2002)']
Mrs. Brown (Her Majesty, Mrs. Brown) (1997) ,  English Patient, The (1996)	"[""'71 (2014)"", ""'Hellboy': The Seeds of Creation (2004)"", ""'Round Midnight (1986)"", ""'Salem's Lot (2004)"", ""'Til There Was You (1997)"", ""'Tis the Season for Love (2015)"", ""'burbs, The (1989)"", ""'night Mother (1986)""]"
Full Monty, The (1997) ,  Godfather, The (1972) ,  Mother (1996)	['Apocalypse Now (1979)', 'Harry Potter and the Chamber of Secrets (2002)']
Chasing Amy (1997) ,  Mrs. Brown (Her Majesty, Mrs. Brown) (1997)	['Up (2009)', 'Crimson Tide (1995)']
Raising Arizona (1987) ,  Star Wars (1977)	['WALL·E (2008)', 'Departed, The (2006)']
Star Wars (1977) ,  My Best Friend's Wedding (1997)	"[""'71 (2014)"", ""'Hellboy': The Seeds of Creation (2004)"", ""'Round Midnight (1986)"", ""'Salem's Lot (2004)"", ""'Til There Was You (1997)"", ""'Tis the Season for Love (2015)"", ""'burbs, The (1989)"", ""'night Mother (1986)""]"
Toy Story (1995) ,  Die xue shuang xiong (Killer, The) (1989)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Titanic (1997) ,  Raiders of the Lost Ark (1981)	['Dances with Wolves (1990)', 'Star Trek: Generations (1994)']
Jumanji (1995) , White Squall (1996) , Strictly Ballroom (1992) , Homeward Bound: The Incredible Journey (1993)	['Clueless (1995)', 'Cliffhanger (1993)', 'Shining, The (1980)', 'True Lies (1994)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Net, The (1995)', 'Green Mile, The (1999)']
Kolya (1996) , Antonia's Line (1995) , In & Out (1997) , Adventures of Priscilla, Queen of the Desert, The (1994)	"[""One Flew Over the Cuckoo's Nest (1975)"", 'Willy Wonka & the Chocolate Factory (1971)', ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"", 'Outbreak (1995)']"
Liar Liar (1997) , Event Horizon (1997) , Scream (1996) , Edge, The (1997)	"['American Pie (1999)', 'Lord of the Rings: The Two Towers, The (2002)', 'Outbreak (1995)', 'Minority Report (2002)', 'Interview with the Vampire: The Vampire Chronicles (1994)', 'Net, The (1995)', ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"", 'Donnie Darko (2001)']"
In the Line of Fire (1993) , Much Ado About Nothing (1993) , Godfather, The (1972) , 2001: A Space Odyssey (1968)	"[""Schindler's List (1993)"", 'Clockwork Orange, A (1971)', 'Taxi Driver (1976)', 'Beautiful Mind, A (2001)', 'Inception (2010)', 'Godfather: Part II, The (1974)', 'WALL·E (2008)', 'Harry Potter and the Chamber of Secrets (2002)']"
Titanic (1997) ,  Silence of the Lambs, The (1991)	['Dances with Wolves (1990)', 'Star Trek: Generations (1994)']
Godfather, The (1972) , Pulp Fiction (1994) , Boot, Das (1981) , Willy Wonka and the Chocolate Factory (1971)	"['Godfather: Part II, The (1974)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'Kill Bill: Vol. 1 (2003)']"
Princess Bride, The (1987) , Monty Python and the Holy Grail (1974) , Willy Wonka and the Chocolate Factory (1971) , Men in Black (1997)	['Truman Show, The (1998)', 'Finding Nemo (2003)']
Godfather, The (1972) ,  Shining, The (1980)	"['Godfather: Part II, The (1974)', ""Schindler's List (1993)""]"
Contact (1997) ,  Close Shave, A (1995)	['American Pie (1999)', 'Clear and Present Danger (1994)']
Toy Story (1995) , Wedding Singer, The (1998) , Balto (1995) , Lawnmower Man, The (1992)	['American Pie (1999)', 'Taxi Driver (1976)', 'Clueless (1995)', 'Incredibles, The (2004)', 'Fight Club (1999)', 'Terminator, The (1984)', 'Finding Nemo (2003)']
Rock, The (1996) , Godfather, The (1972) , Liar Liar (1997) , Return of the Jedi (1983)	"['American Pie (1999)', ""Schindler's List (1993)"", 'Godfather: Part II, The (1974)', 'Independence Day (a.k.a. ID4) (1996)', 'Net, The (1995)', 'Star Trek: Generations (1994)']"
Braveheart (1995) , Rosencrantz and Guildenstern Are Dead (1990) , Monty Python and the Holy Grail (1974) , Reservoir Dogs (1992)	"['American History X (1998)', 'Apocalypse Now (1979)', ""Ocean's Eleven (2001)"", 'Batman Begins (2005)', 'Interview with the Vampire: The Vampire Chronicles (1994)']"
This Is Spinal Tap (1984) ,  Shallow Grave (1994)	['Blade Runner (1982)', 'Interview with the Vampire: The Vampire Chronicles (1994)']
English Patient, The (1996) , Close Shave, A (1995) , Star Wars (1977) , Twelve Monkeys (1995)	['Ace Ventura: Pet Detective (1994)', 'Apocalypse Now (1979)']
Sense and Sensibility (1995) , Rebecca (1940) , Dead Poets Society (1989) , Amadeus (1984)	"['Donnie Darko (2001)', ""Ocean's Eleven (2001)"", 'Léon: The Professional (a.k.a. The Professional) (Léon) (1994)', 'Catch Me If You Can (2002)', 'Harry Potter and the Chamber of Secrets (2002)', 'Eternal Sunshine of the Spotless Mind (2004)', ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"", 'Star Trek: Generations (1994)']"
Dead Poets Society (1989) , Wallace & Gromit: The Best of Aardman Animation (1996) , Star Trek: The Wrath of Khan (1982) , Sling Blade (1996)	['Cliffhanger (1993)', 'Memento (2000)', 'Catch Me If You Can (2002)', 'Up (2009)', 'Ghostbusters (a.k.a. Ghost Busters) (1984)', 'Donnie Darko (2001)']
Time to Kill, A (1996) , Courage Under Fire (1996) , Twister (1996) , Independence Day (ID4) (1996)	['Beautiful Mind, A (2001)', 'Cliffhanger (1993)', 'Outbreak (1995)', 'Kill Bill: Vol. 2 (2004)', 'Independence Day (a.k.a. ID4) (1996)', 'Dark Knight, The (2008)']
Secrets & Lies (1996) , Boogie Nights (1997) , Chasing Amy (1997) , It's a Wonderful Life (1946)	"['E.T. the Extra-Terrestrial (1982)', 'Crimson Tide (1995)', 'Alien (1979)', 'Lord of the Rings: The Return of the King, The (2003)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Up (2009)', ""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"", 'Home Alone (1990)']"
Fifth Element, The (1997) ,  Empire Strikes Back, The (1980)	['Spider-Man (2002)', 'Batman Begins (2005)']
Cinderella (1950) ,  Shallow Grave (1994) ,  Amadeus (1984)	['Clueless (1995)', 'Harry Potter and the Chamber of Secrets (2002)']
Toy Story (1995) ,  In & Out (1997)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
All About Eve (1950) , Dial M for Murder (1954) , Quiet Man, The (1952) , Field of Dreams (1989)	['Speed (1994)', 'Gladiator (2000)', 'Beautiful Mind, A (2001)', 'Blade Runner (1982)', 'Fugitive, The (1993)', 'Jumanji (1995)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Net, The (1995)']
Prophecy II, The (1998) , Half Baked (1998) , Sphere (1998) , Kull the Conqueror (1997)	['Rock, The (1996)', 'GoldenEye (1995)', 'Jumanji (1995)', 'True Lies (1994)', 'Sleepless in Seattle (1993)', 'Up (2009)']
Sweet Hereafter, The (1997) , Apostle, The (1997) , Wag the Dog (1997) , Ulee's Gold (1997)	['Inception (2010)', 'Titanic (1997)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Godfather, The (1972)', 'Clear and Present Danger (1994)', 'Sixth Sense, The (1999)', 'Dark Knight, The (2008)', 'Finding Nemo (2003)']
Abyss, The (1989) ,  Star Trek III: The Search for Spock (1984)	['Bourne Identity, The (2002)', 'Outbreak (1995)']
Wrong Trousers, The (1993) , Piano, The (1993) , English Patient, The (1996) , Big Lebowski, The (1998)	['Ace Ventura: Pet Detective (1994)', 'Apocalypse Now (1979)', 'Full Metal Jacket (1987)', 'Batman Begins (2005)', 'Memento (2000)', 'Groundhog Day (1993)']
English Patient, The (1996) ,  Kiss the Girls (1997) ,  Chasing Amy (1997)	['Ace Ventura: Pet Detective (1994)', 'Apocalypse Now (1979)']
Evita (1996) ,  Usual Suspects, The (1995)	['Home Alone (1990)', 'Interview with the Vampire: The Vampire Chronicles (1994)']
Swingers (1996) ,  Toy Story (1995)	['WALL·E (2008)', 'Crimson Tide (1995)']
Rear Window (1954) , Indiana Jones and the Last Crusade (1989) , Star Wars (1977) , Monty Python and the Holy Grail (1974)	['Inception (2010)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Indiana Jones and the Temple of Doom (1984)', 'Beautiful Mind, A (2001)']
Shawshank Redemption, The (1994) ,  Mission: Impossible (1996)	"[""Schindler's List (1993)"", 'Four Weddings and a Funeral (1994)']"
Air Force One (1997) ,  Jerry Maguire (1996)	['Net, The (1995)', 'Green Mile, The (1999)']
Indiana Jones and the Last Crusade (1989) , My Life as a Dog (Mitt liv som hund) (1985) , Princess Bride, The (1987) , Empire Strikes Back, The (1980)	['Truman Show, The (1998)', 'Dumb & Dumber (Dumb and Dumber) (1994)', 'Indiana Jones and the Temple of Doom (1984)', 'Willy Wonka & the Chocolate Factory (1971)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Finding Nemo (2003)']
Raising Arizona (1987) ,  English Patient, The (1996)	['WALL·E (2008)', 'Departed, The (2006)']
Rocket Man (1997) ,  Welcome To Sarajevo (1997) ,  Tango Lesson, The (1997)	"[""'71 (2014)"", ""'Hellboy': The Seeds of Creation (2004)"", ""'Round Midnight (1986)"", ""'Salem's Lot (2004)"", ""'Til There Was You (1997)"", ""'Tis the Season for Love (2015)"", ""'burbs, The (1989)"", ""'night Mother (1986)""]"
Independence Day (ID4) (1996) , Air Force One (1997) , Contact (1997) , Dragonheart (1996)	['American Pie (1999)', 'Bourne Identity, The (2002)', 'Shrek (2001)', 'Clear and Present Danger (1994)', 'Net, The (1995)', 'Green Mile, The (1999)']
Titanic (1997) ,  In the Name of the Father (1993) ,  Monty Python and the Holy Grail (1974)	['Dances with Wolves (1990)', 'Star Trek: Generations (1994)']
Leaving Las Vegas (1995) , Fargo (1996) , Good Will Hunting (1997) , Welcome to the Dollhouse (1995)	"['Lord of the Rings: The Two Towers, The (2002)', 'Four Weddings and a Funeral (1994)', 'GoldenEye (1995)', 'Apocalypse Now (1979)', ""Ocean's Eleven (2001)"", 'Incredibles, The (2004)', 'Catch Me If You Can (2002)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)']"
Army of Darkness (1993) , Magnificent Seven, The (1954) , Terminator, The (1984) , Amadeus (1984)	"['Blade Runner (1982)', 'Léon: The Professional (a.k.a. The Professional) (Léon) (1994)', 'True Lies (1994)', 'Interview with the Vampire: The Vampire Chronicles (1994)', 'Terminator 2: Judgment Day (1991)', ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)""]"
In & Out (1997) ,  Devil's Advocate, The (1997)	"[""One Flew Over the Cuckoo's Nest (1975)"", 'Outbreak (1995)']"
Strictly Ballroom (1992) , Sabrina (1995) , My Best Friend's Wedding (1997) , Forget Paris (1995)	['Truman Show, The (1998)', 'Batman Forever (1995)', 'Lord of the Rings: The Two Towers, The (2002)', 'Bourne Identity, The (2002)', 'Minority Report (2002)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Green Mile, The (1999)']
Contact (1997) ,  Tin Cup (1996) ,  L.A. Confidential (1997)	['American Pie (1999)', 'Clear and Present Danger (1994)']
Monty Python's Life of Brian (1979) , Silence of the Lambs, The (1991) , Pulp Fiction (1994) , Arsenic and Old Lace (1944)	['Kill Bill: Vol. 1 (2003)', 'Clockwork Orange, A (1971)', 'Fight Club (1999)', 'Die Hard: With a Vengeance (1995)', 'WALL·E (2008)', 'Memento (2000)', 'Aliens (1986)', 'Ghostbusters (a.k.a. Ghost Busters) (1984)']
Little Princess, A (1995) , White Squall (1996) , Sense and Sensibility (1995) , Toy Story (1995)	"['Beautiful Mind, A (2001)', 'Shining, The (1980)', ""Ocean's Eleven (2001)"", 'Incredibles, The (2004)', 'Catch Me If You Can (2002)', 'Eternal Sunshine of the Spotless Mind (2004)', 'Finding Nemo (2003)']"
Star Trek: First Contact (1996) ,  Star Trek V: The Final Frontier (1989)	['Up (2009)', 'Men in Black (a.k.a. MIB) (1997)']
Four Days in September (1997) ,  English Patient, The (1996)	"[""'71 (2014)"", ""'Hellboy': The Seeds of Creation (2004)"", ""'Round Midnight (1986)"", ""'Salem's Lot (2004)"", ""'Til There Was You (1997)"", ""'Tis the Season for Love (2015)"", ""'burbs, The (1989)"", ""'night Mother (1986)""]"
Living in Oblivion (1995) , Field of Dreams (1989) , Hard Eight (1996) , Ridicule (1996)	['Indiana Jones and the Temple of Doom (1984)', 'Beautiful Mind, A (2001)', 'Seven (a.k.a. Se7en) (1995)', 'GoldenEye (1995)', 'Kill Bill: Vol. 2 (2004)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)']
Crumb (1994) ,  Back to the Future (1985)	['Mask, The (1994)', 'Bourne Identity, The (2002)']
Sunset Blvd. (1950) , It Happened One Night (1934) , 12 Angry Men (1957) , Good Will Hunting (1997)	['Crimson Tide (1995)', 'GoldenEye (1995)', 'Outbreak (1995)', 'Stargate (1994)', 'True Lies (1994)', 'Catch Me If You Can (2002)']
Kolya (1996) , Shawshank Redemption, The (1994) , Room with a View, A (1986) , Night on Earth (1991)	"[""Schindler's List (1993)"", 'Four Weddings and a Funeral (1994)', 'Stargate (1994)', 'Sleepless in Seattle (1993)', 'Good Will Hunting (1997)', 'Donnie Darko (2001)']"
E.T. the Extra-Terrestrial (1982) ,  Men in Black (1997) ,  Bridge on the River Kwai, The (1957)	"['Willy Wonka & the Chocolate Factory (1971)', ""Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)""]"
Citizen Kane (1941) , Bridge on the River Kwai, The (1957) , Raging Bull (1980) , Laura (1944)	"['Willy Wonka & the Chocolate Factory (1971)', 'Taxi Driver (1976)', 'Lord of the Rings: The Two Towers, The (2002)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Fugitive, The (1993)', 'Reservoir Dogs (1992)', 'Catch Me If You Can (2002)', 'Big Lebowski, The (1998)']"
Some Folks Call It a Sling Blade (1993) , Godfather, The (1972) , L.A. Confidential (1997) , People vs. Larry Flynt, The (1996)	"[""Schindler's List (1993)"", 'Truman Show, The (1998)', 'Willy Wonka & the Chocolate Factory (1971)', 'Godfather: Part II, The (1974)', ""One Flew Over the Cuckoo's Nest (1975)"", 'Fugitive, The (1993)', 'Catch Me If You Can (2002)', 'Clerks (1994)']"
Fargo (1996) , Leaving Las Vegas (1995) , Bottle Rocket (1996) , Angels and Insects (1995)	"['Taxi Driver (1976)', 'Inception (2010)', 'Four Weddings and a Funeral (1994)', 'Apocalypse Now (1979)', ""Ocean's Eleven (2001)"", 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Memento (2000)', 'Pretty Woman (1990)']"
Toy Story (1995) , Jurassic Park (1993) , Aristocats, The (1970) , Father of the Bride Part II (1995)	['Mask, The (1994)', 'Outbreak (1995)', 'Incredibles, The (2004)', 'Mrs. Doubtfire (1993)', 'Ghostbusters (a.k.a. Ghost Busters) (1984)', 'Finding Nemo (2003)']
Swingers (1996) , Star Wars (1977) , Leaving Las Vegas (1995) , Emma (1996)	"['Crimson Tide (1995)', 'Cliffhanger (1993)', 'Four Weddings and a Funeral (1994)', ""Ocean's Eleven (2001)"", 'WALL·E (2008)', 'Catch Me If You Can (2002)']"
Toy Story (1995) ,  Mystery Science Theater 3000: The Movie (1996)	['Incredibles, The (2004)', 'Finding Nemo (2003)']
Con Air (1997) ,  Rumble in the Bronx (1995)	['Léon: The Professional (a.k.a. The Professional) (Léon) (1994)', 'Firm, The (1993)']
Apostle, The (1997) , Wag the Dog (1997) , Good Will Hunting (1997) , Rainmaker, The (1997)	['Cliffhanger (1993)', 'GoldenEye (1995)', 'Titanic (1997)', 'Catch Me If You Can (2002)', 'Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Clear and Present Danger (1994)', 'Finding Nemo (2003)']
Chasing Amy (1997) , Contact (1997) , In the Company of Men (1997) , Everyone Says I Love You (1996)	"['American Pie (1999)', 'Crimson Tide (1995)', 'Catch Me If You Can (2002)', 'Up (2009)', 'Clear and Present Danger (1994)', 'Eternal Sunshine of the Spotless Mind (2004)', ""Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001)"", 'Donnie Darko (2001)']"
Titanic (1997) ,  Scream (1996)	['Dances with Wolves (1990)', 'Star Trek: Generations (1994)']
Boogie Nights (1997) ,  Clockwork Orange, A (1971)	['Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)', 'Alien (1979)']
Casablanca (1942) , My Fair Lady (1964) , Duck Soup (1933) , Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)	"[""Schindler's List (1993)"", 'Groundhog Day (1993)', 'Braveheart (1995)', ""Ferris Bueller's Day Off (1986)"", 'Big Lebowski, The (1998)', 'Dark Knight, The (2008)']"
Doors, The (1991) , Raising Arizona (1987) , M*A*S*H (1970) , When Harry Met Sally... (1989)	"['Ghost (1990)', ""Schindler's List (1993)"", 'Cliffhanger (1993)', 'WALL·E (2008)', 'Departed, The (2006)', 'Net, The (1995)']"
Toy Story (1995) , Jumanji (1995) , Stargate (1994) , Shawshank Redemption, The (1994)	"[""Schindler's List (1993)"", 'Cliffhanger (1993)', 'Four Weddings and a Funeral (1994)', 'X-Men (2000)', 'True Lies (1994)', 'Incredibles, The (2004)', ""There's Something About Mary (1998)"", 'Finding Nemo (2003)']"
